num_in_team,player_name,games_played,games_started,minutes_played,points,two_point_percentage,three_point_percentage,free_throw_percentage,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,turnover,blocks,blocks_against,fouls_commited,fouls_received,performance_index_rating,Team
1,GABRIELE PROCIDA,9,6,21:06,9.6,63.9%,20%,88.9%,0.6,2.0,2.6,0.6,0.7,1.1,0.7,0.0,1.6,1.9,8.0,ALBA Berlin
2,DORIAN GROSBER,2,1,2:57,1.0,50%,0%,0%,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,-0.5,ALBA Berlin
3,MATTEO SPAGNOLO,8,3,23:15,12.1,45.6%,30%,77.3%,0.4,2.1,2.5,3.8,0.2,2.4,0.0,0.4,1.6,3.8,11.0,ALBA Berlin
4,YANNI WETZELL,6,5,20:35,8.2,48.6%,25%,83.3%,1.7,3.7,5.3,0.8,0.3,1.5,0.3,0.8,1.8,2.7,9.5,ALBA Berlin
5,MALTE DELOW,1,0,11:36,0.0,0%,0%,0%,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,-4.0,ALBA Berlin
6,WILL MCDOWELL-WHITE,7,0,16:44,6.0,57.1%,53.3%,100%,0.1,1.7,1.9,2.0,0.4,0.9,0.0,0.0,0.9,0.6,7.3,ALBA Berlin
7,ANTON NUFER,4,1,5:01,0.2,0%,0%,50%,0.0,0.5,0.5,0.0,0.0,0.8,0.0,0.0,0.5,0.0,-0.8,ALBA Berlin
8,JONAS MATTISSECK,8,3,16:11,3.6,45.5%,20.7%,50%,0.0,0.9,0.9,0.6,0.5,0.2,0.0,0.1,2.6,0.6,-0.5,ALBA Berlin
9,TIM SCHNEIDER,9,2,19:35,6.9,71.4%,47.1%,80%,0.8,1.8,2.6,0.1,0.3,0.1,0.1,0.1,2.0,1.7,7.6,ALBA Berlin
10,MARTIN HERMANNSSON,8,8,25:58,14.6,56.4%,42.3%,73.3%,0.4,1.5,1.9,4.8,0.1,3.0,0.0,0.8,1.5,3.1,13.4,ALBA Berlin
11,ZIGA SAMAR,5,1,13:35,2.4,22.2%,50%,83.3%,0.4,0.4,0.8,1.8,0.8,2.6,0.0,0.0,1.2,1.2,1.4,ALBA Berlin
